,,,73,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,80,7,,,,,,TOTAL.G-1.5,,351,,TOTAL.G-1.5,,351,,,,DIFERENÇA.G.6.1-C,,691,,,,,,,,,,,,,,,,
TOTAL.G-1.3,,,219,,,,,,,TOTAL.G-1.4,,285,,TOTAL.G-1.C,,21,,,,DIFERENÇA.G.5.1-C,,566,,,,,,,,,,,,,,,,
,,,,,,,,,,DIFERENÇA.G.1.5-4,,66,,,,330,,,,,,125,,,,,,,,,,,,,,,,
,,,88,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,95,7,,,,,,,,,,,,,,,,DIFERENÇA.G.7.1-C,,816,,,,,,,,,,,,,,,,
,,,102,7,,,,,,,,,,,,,,,,DIFERENÇA.G.6.1-C,,691,,,,,,,,,,,,,,,,
TOTAL.G-1.4,,,285,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,110,8,5,,,,,,,,,,,,,,,DIFERENÇA.G.8.1-C,,941,,,,,,,,,,,,,,,,
,,,117,7,,,,,,,,,,,,,,,,DIFERENÇA.G.7.1-C,,816,,,,,,,,,,,,,,,,
,,,124,7,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,
TOTAL.G-1.5,,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPO 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SOMA,,,,SUBTRAÇÕES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,132,8,,TOTAL.G-2.C,,271,,TOTAL.G-2.1,,462,,TOTAL.G-2.1,,462,,455,,TOTAL.G-2.C,,271,,,,,,,,,,,,,,,,
,,,139,7,,TOTAL.G-2.1,,462,,TOTAL.G-2.C,,271,,TOTAL.G-2.C,,271,,389,,TOTAL.G-1.C,,21,,,,,,,,,,,,,,,,
TOTAL.G-2.C,,,271,,,TOTAL.G-2.2,,528,,DIFERENÇA.G.2.1-C,,191,,,,191,,66,,,,250,,,,,,,,,,,,,,,,
,,,,,,TOTAL.G-2.3,,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,147,8,1,TOTAL.G-2.4,,660,,TOTAL.G-2.2,,528,,TOTAL.G-2.2,,528,,389,,TOTAL.G-3.C,,521,,,,,,,,,,,,,,,,
,,,154,7,,TOTAL.G-2.5,,726,,TOTAL.G-2.1,,462,,TOTAL.G-2.C,,271,,323,,TOTAL.G-2.C,,271,,,,,,,,,,,,,,,,
,,,161,7,,TOTAL.G-2,,3241,,DIFERENÇA.G.2.2-1,,66,,,,257,,66,,,,250,,,,,,,,,,,,,,,,
TOTAL.G-2.1,,,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,TOTAL.G-2.3,,594,,TOTAL.G-2.3,,594,,323,,TOTAL.G-4.C,,771,,,,,,,,,,,,,,,,
,,,169,8,2,,,,,TOTAL.G-2.2,,528,,TOTAL.G-2.C,,271,,257,,TOTAL.G-3.C,,521,,,,,,,,,,,,,,,,
,,,176,7,,,,,,DIFERENÇA.G.2.3-2,,66,,,,323,,66,,,,250,,,,,,,,,,,,,,,,
,,,183,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL.G-2.2,,,528,,,,,,,TOTAL.G-2.4,,660,,TOTAL.G-2.4,,660,,257,,TOTAL.G-5.C,,1021,,,,,,,,,,,,,,,,
,,,,,,,,,,TOTAL.G-2.3,,594,,TOTAL.G-2.C,,271,,191,,TOTAL.G-4.C,,771,,,,,,,,,,,,,,,,
,,,191,8,3,,,,,DIFERENÇA.G.2.4-3,,66,,,,389,,66,,,,250,,,,,,,,,,,,,,,,
,,,198,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,205,7,,,,,,TOTAL.G-2.5,,726,,TOTAL.G-2.5,,726,,,,TOTAL.G-6.C,,1271,,,,,,,,,,,,,,,,
TOTAL.G-2.3,,,594,,,,,,,TOTAL.G-2.4,,660,,TOTAL.G-2.C,,271,,,,TOTAL.G-5.C,,1021,,,,,,,,,,,,,,,,
,,,,,,,,,,DIFERENÇA.G.2.5-4,,66,,,,455,,,,,,250,,,,,,,,,,,,,,,,
,,,213,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,220,7,,,,,,,,,,,,,,,,TOTAL.G-7.C,,1521,,,,,,,,,,,,,,,,
,,,227,7,,,,,,,,,,,,,,,,TOTAL.G-6.C,,1271,,,,,,,,,,,,,,,,
TOTAL.G-2.4,,,660,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,235,8,5,,,,,,,,,,,,,,,TOTAL.G-8.C,,1771,,,,,,,,,,,,,,,,
,,,242,7,,,,,,,,,,,,,,,,TOTAL.G-7.C,,1521,,,,,,,,,,,,,,,,
,,,249,7,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,
TOTAL.G-2.5,,,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPO 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SOMA,,,,SUBTRAÇÕES,,,,,,,,,,TOTAL.G-2.1,,462,,TOTAL.G-2.2,,528,,TOTAL.G-2.3,,594,,TOTAL.G-2.4,,660,,TOTAL.G-2.5,,726
,,,257,8,,TOTAL.G-3.C,,521,,TOTAL.G-3.1,,837,,TOTAL.G-3.1,,837,,580,,TOTAL.G-1.1,,87,,TOTAL.G-1.2,,153,,TOTAL.G-1.3,,219,,TOTAL.G-1.4,,285,,TOTAL.G-1.5,,351
,,,264,7,,TOTAL.G-3.1,,837,,TOTAL.G-3.C,,521,,TOTAL.G-3.C,,521,,514,,,,375,,,,375,,,,375,,,,375,,,,375
TOTAL.G-3.C,,,521,,,TOTAL.G-3.2,,903,,DIFERENÇA.G.3.1-C,,316,,,,316,,66,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL.G-3.3,,969,,,,,,,,,,,,TOTAL.G-3.1,,837,,TOTAL.G-3.2,,903,,TOTAL.G-3.3,,969,,TOTAL.G-3.4,,1035,,TOTAL.G-3.5,,1101
