Naturais,B + 32,Ciclo Perfeito,B / C,D posterior – D anterior
326,10432,8640000,"0,00120740740740741000","0,00000370370370370368"
327,10464,8640000,"0,00121111111111111000","0,00000370370370370368"
328,10496,8640000,"0,00121481481481481000","0,00000370370370370368"
329,10528,8640000,"0,00121851851851852000","0,00000370370370370368"
330,10560,8640000,"0,00122222222222222000","0,00000370370370370368"
331,10592,8640000,"0,00122592592592593000","0,00000370370370370368"
332,10624,8640000,"0,00122962962962963000","0,00000370370370370368"
333,10656,8640000,"0,00123333333333333000","0,00000370370370370390"
334,10688,8640000,"0,00123703703703704000","0,00000370370370370368"
335,10720,8640000,"0,00124074074074074000","0,00000370370370370368"
336,10752,8640000,"0,00124444444444444000","0,00000370370370370368"
337,10784,8640000,"0,00124814814814815000","0,00000370370370370368"
338,10816,8640000,"0,00125185185185185000","0,00000370370370370368"
339,10848,8640000,"0,00125555555555556000","0,00000370370370370368"
340,10880,8640000,"0,00125925925925926000","0,00000370370370370368"
341,10912,8640000,"0,00126296296296296000","0,00000370370370370368"
342,10944,8640000,"0,00126666666666667000","0,00000370370370370368"
343,10976,8640000,"0,00127037037037037000","0,00000370370370370390"
344,11008,8640000,"0,00127407407407407000","0,00000370370370370368"
345,11040,8640000,"0,00127777777777778000","0,00000370370370370368"
346,11072,8640000,"0,00128148148148148000","0,00000370370370370368"
347,11104,8640000,"0,00128518518518519000","0,00000370370370370368"
348,11136,8640000,"0,00128888888888889000","0,00000370370370370368"
349,11168,8640000,"0,00129259259259259000","0,00000370370370370368"
350,11200,8640000,"0,00129629629629630000","0,00000370370370370368"
351,11232,8640000,"0,00130000000000000000","0,00000370370370370368"
352,11264,8640000,"0,00130370370370370000","0,00000370370370370368"
353,11296,8640000,"0,00130740740740741000","0,00000370370370370390"
354,11328,8640000,"0,00131111111111111000","0,00000370370370370368"
355,11360,8640000,"0,00131481481481481000","0,00000370370370370368"
356,11392,8640000,"0,00131851851851852000","0,00000370370370370368"
357,11424,8640000,"0,00132222222222222000","0,00000370370370370368"
358,11456,8640000,"0,00132592592592593000","0,00000370370370370368"
359,11488,8640000,"0,00132962962962963000","0,00000370370370370368"
360,11520,8640000,"0,00133333333333333000","0,00000370370370370368"
361,11552,8640000,"0,00133703703703704000","0,00000370370370370368"
362,11584,8640000,"0,00134074074074074000","0,00000370370370370390"
363,11616,8640000,"0,00134444444444444000","0,00000370370370370368"
364,11648,8640000,"0,00134814814814815000","0,00000370370370370368"
365,11680,8640000,"0,00135185185185185000","0,00000370370370370368"
366,11712,8640000,"0,00135555555555556000","0,00000370370370370368"
367,11744,8640000,"0,00135925925925926000","0,00000370370370370368"
368,11776,8640000,"0,00136296296296296000","0,00000370370370370368"
369,11808,8640000,"0,00136666666666667000","0,00000370370370370368"
370,11840,8640000,"0,00137037037037037000","0,00000370370370370368"
371,11872,8640000,"0,00137407407407407000","0,00000370370370370368"
372,11904,8640000,"0,00137777777777778000","0,00000370370370370390"
373,11936,8640000,"0,00138148148148148000","0,00000370370370370368"
374,11968,8640000,"0,00138518518518519000","0,00000370370370370368"
375,12000,8640000,"0,00138888888888889000","0,00000370370370370368"
376,12032,8640000,"0,00139259259259259000","0,00000370370370370368"
377,12064,8640000,"0,00139629629629630000","0,00000370370370370368"
378,12096,8640000,"0,00140000000000000000","0,00000370370370370368"
379,12128,8640000,"0,00140370370370370000","0,00000370370370370368"
380,12160,8640000,"0,00140740740740741000","0,00000370370370370368"
381,12192,8640000,"0,00141111111111111000","0,00000370370370370368"
382,12224,8640000,"0,00141481481481481000","0,00000370370370370390"
383,12256,8640000,"0,00141851851851852000","0,00000370370370370368"
384,12288,8640000,"0,00142222222222222000","0,00000370370370370368"
385,12320,8640000,"0,00142592592592593000","0,00000370370370370368"
386,12352,8640000,"0,00142962962962963000","0,00000370370370370368"
387,12384,8640000,"0,00143333333333333000","0,00000370370370370368"
388,12416,8640000,"0,00143703703703704000","0,00000370370370370368"
389,12448,8640000,"0,00144074074074074000","0,00000370370370370368"
390,12480,8640000,"0,00144444444444444000","0,00000370370370370368"
391,12512,8640000,"0,00144814814814815000","0,00000370370370370390"
392,12544,8640000,"0,00145185185185185000","0,00000370370370370368"
393,12576,8640000,"0,00145555555555556000","0,00000370370370370368"
394,12608,8640000,"0,00145925925925926000","0,00000370370370370368"
395,12640,8640000,"0,00146296296296296000","0,00000370370370370368"
396,12672,8640000,"0,00146666666666667000","0,00000370370370370368"
397,12704,8640000,"0,00147037037037037000","0,00000370370370370368"
398,12736,8640000,"0,00147407407407407000","0,00000370370370370368"
399,12768,8640000,"0,00147777777777778000","0,00000370370370370368"
400,12800,8640000,"0,00148148148148148000","0,00000370370370370368"
401,12832,8640000,"0,00148518518518518000","0,00000370370370370390"
402,12864,8640000,"0,00148888888888889000","0,00000370370370370368"
403,12896,8640000,"0,00149259259259259000","0,00000370370370370368"
404,12928,8640000,"0,00149629629629630000","0,00000370370370370368"
405,12960,8640000,"0,00150000000000000000","0,00000370370370370368"
406,12992,8640000,"0,00150370370370370000","0,00000370370370370368"
407,13024,8640000,"0,00150740740740741000","0,00000370370370370368"
408,13056,8640000,"0,00151111111111111000","0,00000370370370370368"
409,13088,8640000,"0,00151481481481481000","0,00000370370370370368"
410,13120,8640000,"0,00151851851851852000","0,00000370370370370368"
411,13152,8640000,"0,00152222222222222000","0,00000370370370370390"
412,13184,8640000,"0,00152592592592593000","0,00000370370370370368"
413,13216,8640000,"0,00152962962962963000","0,00000370370370370368"
414,13248,8640000,"0,00153333333333333000","0,00000370370370370368"
415,13280,8640000,"0,00153703703703704000","0,00000370370370370368"
416,13312,8640000,"0,00154074074074074000","0,00000370370370370368"
417,13344,8640000,"0,00154444444444444000","0,00000370370370370368"
418,13376,8640000,"0,00154814814814815000","0,00000370370370370368"
419,13408,8640000,"0,00155185185185185000","0,00000370370370370368"
